row,bank,col,byte_in_row,byte_lane,bit_in_byte,flip_addr,data_bit,expected_bit,direction,block_addr,block_word_index
1,0,0,9,1,0,1073807369,1,0,0->1,1073807360,0
1,0,0,9,1,5,1073807369,0,1,1->0,1073807360,0
1,0,0,12,4,0,1073807372,1,0,0->1,1073807360,0
1,0,0,13,5,2,1073807373,1,0,0->1,1073807360,0
1,0,0,16,0,5,1073807376,0,1,1->0,1073807360,0
1,0,0,22,6,7,1073807382,0,1,1->0,1073807360,0
1,0,0,24,0,7,1073807384,0,1,1->0,1073807360,0
1,0,0,26,2,5,1073807386,0,1,1->0,1073807360,0
1,0,0,31,7,5,1073807391,0,1,1->0,1073807360,0
1,0,0,34,2,0,1073807394,1,0,0->1,1073807360,0
1,0,0,34,2,5,1073807394,0,1,1->0,1073807360,0
1,0,0,35,3,5,1073807395,0,1,1->0,1073807360,0
1,0,0,38,6,7,1073807398,0,1,1->0,1073807360,0
1,0,0,40,0,0,1073807400,1,0,0->1,1073807360,0
1,0,0,47,7,0,1073807407,1,0,0->1,1073807360,0
1,0,0,54,6,2,1073807414,1,0,0->1,1073807360,0
1,0,0,59,3,5,1073807419,0,1,1->0,1073807360,0
1,0,0,63,7,7,1073807423,0,1,1->0,1073807360,0
1,0,8,66,2,7,1073807426,0,1,1->0,1073807424,16
1,0,8,71,7,5,1073807431,0,1,1->0,1073807424,16
1,0,8,80,0,2,1073807440,1,0,0->1,1073807424,16
1,0,8,88,0,0,1073807448,1,0,0->1,1073807424,16
1,0,8,96,0,5,1073807456,0,1,1->0,1073807424,16
1,0,8,97,1,0,1073807457,1,0,0->1,1073807424,16
1,0,8,97,1,7,1073807457,0,1,1->0,1073807424,16
1,0,8,99,3,2,1073807459,1,0,0->1,1073807424,16
1,0,8,99,3,7,1073807459,0,1,1->0,1073807424,16
1,0,8,102,6,5,1073807462,0,1,1->0,1073807424,16
1,0,8,107,3,0,1073807467,1,0,0->1,1073807424,16
1,0,8,111,7,5,1073807471,0,1,1->0,1073807424,16
1,0,8,112,0,5,1073807472,0,1,1->0,1073807424,16
1,0,8,119,7,0,1073807479,1,0,0->1,1073807424,16
1,0,16,128,0,2,1073807488,1,0,0->1,1073807488,32
1,0,16,128,0,7,1073807488,0,1,1->0,1073807488,32
1,0,16,130,2,5,1073807490,0,1,1->0,1073807488,32
1,0,16,135,7,5,1073807495,0,1,1->0,1073807488,32
