read_count,flips,byte_cells,single,double,triple,four_plus,double_adjacent,double_non_adjacent,non_adjacent_share_percent,file
1000000,75,75,75,0,0,0,0,0,,bitflips_1789606962.298615.csv
11000000,2079,2008,1938,69,1,0,5,64,92.8,bitflips_1789606968.803835.csv
21000000,3298,3144,2994,146,4,0,10,136,93.2,bitflips_1789606976.013772.csv
31000000,4150,3885,3628,249,8,0,19,230,92.4,bitflips_1789606983.954522.csv
41000000,4829,4478,4141,324,12,1,22,302,93.2,bitflips_1789606992.647837.csv
51000000,5346,4928,4529,381,17,1,31,350,91.9,bitflips_1789607002.130585.csv
61000000,5815,5327,4858,451,17,1,34,417,92.5,bitflips_1789607012.279796.csv
71000000,6240,5712,5203,491,17,1,35,456,92.9,bitflips_1789607023.291825.csv
81000000,6654,6064,5496,547,20,1,37,510,93.2,bitflips_1789607035.469661.csv
91000000,7075,6439,5827,589,22,1,38,551,93.5,bitflips_1789607049.451337.csv
